,Name,Event,Price,Predicted_Score,Team
0,Isabella Magnelli,BB,6250.0,9.901543,Kentucky
1,Jade Carey,BB,6250.0,9.899231,Oregon State
2,Lilly Hudson,BB,1000.0,9.798924,Alabama
3,Kayla Lee,BB,1000.0,9.802275,Arizona State
4,Addison Lawrence,BB,1000.0,9.804844,Missouri
5,Abbey Scanlon,BB,1000.0,9.815956,California
6,Jordan Bowers,FX,6250.0,9.907043,Oklahoma
7,Faith Torrez,FX,6250.0,9.906635,Oklahoma
8,Mya Lauzon,FX,6250.0,9.904045,California
9,Hailey Davis,FX,6250.0,9.901543,Kentucky
10,Brooklyn Moors,FX,6250.0,9.899231,UCLA
11,Skylar Killough-Wilhelm,FX,1000.0,9.819447,Kentucky
12,Cally Swaney,UB,1000.0,9.797312,Arkansas
13,Isabella Rivelli,UB,1000.0,9.802469,Kentucky
14,Emma Malabuyo,UB,1000.0,9.807971,UCLA
15,Annalise Newman-Achee,UB,1000.0,9.816582,California
16,Kimberly Smith,UB,3000.0,9.830363,Arizona State
17,Ui Soma,UB,1000.0,9.832598,Stanford
18,Kailin Chio,VT,6250.0,9.894543,LSU
19,Selena Harris-Miranda,VT,6250.0,9.892838,Florida
20,Leanne Wong,VT,6250.0,9.887532,Florida
21,Nikki Smith,VT,6250.0,9.887532,Michigan State
22,Faith Torrez,VT,6250.0,9.885256,Oklahoma
23,Corinne Bunagan,VT,2000.0,9.823359,Alabama
